"gene","seqid","type"
"ENSMUSG00000001313","11","gene"
"ENSMUSG00000001323","11","gene"
"ENSMUSG00000001333","4","gene"
"ENSMUSG00000001334","4","gene"
"ENSMUSG00000001348","9","gene"
"ENSMUSG00000001349","9","gene"
"ENSMUSG00000001366","9","gene"
"ENSMUSG00000001376","6","gene"
"ENSMUSG00000001380","18","gene"
"ENSMUSG00000001383","18","gene"
"ENSMUSG00000001403","2","gene"
"ENSMUSG00000001415","3","gene"
"ENSMUSG00000001416","3","gene"
"ENSMUSG00000001418","3","gene"
"ENSMUSG00000001419","3","gene"
"ENSMUSG00000001420","3","gene"
"ENSMUSG00000001424","6","gene"
"ENSMUSG00000001435","10","gene"
"ENSMUSG00000001436","10","gene"
"ENSMUSG00000001440","11","gene"
"ENSMUSG00000001441","11","gene"
"ENSMUSG00000001444","11","gene"
"ENSMUSG00000001445","11","gene"
"ENSMUSG00000001467","5","gene"
"ENSMUSG00000001472","8","gene"
"ENSMUSG00000001473","18","gene"
"ENSMUSG00000001482","8","gene"
"ENSMUSG00000001493","11","gene"
"ENSMUSG00000001494","11","gene"
"ENSMUSG00000001496","12","gene"
"ENSMUSG00000001497","12","gene"
"ENSMUSG00000001504","13","gene"
"ENSMUSG00000001506","11","gene"
"ENSMUSG00000001507","11","gene"
"ENSMUSG00000001508","11","gene"
"ENSMUSG00000001510","11","gene"
"ENSMUSG00000001517","6","gene"
"ENSMUSG00000001518","6","gene"
"ENSMUSG00000001520","6","gene"
"ENSMUSG00000001521","6","gene"
"ENSMUSG00000001524","17","gene"
"ENSMUSG00000001525","17","gene"
"ENSMUSG00000001542","13","gene"
"ENSMUSG00000001552","11","gene"
"ENSMUSG00000001555","11","gene"
"ENSMUSG00000001558","11","gene"
"ENSMUSG00000001566","5","gene"
"ENSMUSG00000001569","5","gene"
"ENSMUSG00000001576","17","gene"
"ENSMUSG00000001583","11","gene"
"ENSMUSG00000001588","11","gene"
"ENSMUSG00000001604","4","gene"
"ENSMUSG00000001622","5","gene"
"ENSMUSG00000001627","12","gene"
"ENSMUSG00000001630","6","gene"
"ENSMUSG00000001632","6","gene"
"ENSMUSG00000001642","6","gene"
"ENSMUSG00000001655","15","gene"
"ENSMUSG00000001656","15","gene"
"ENSMUSG00000001657","15","gene"
"ENSMUSG00000001661","15","gene"
"ENSMUSG00000001663","10","gene"
"ENSMUSG00000001665","10","gene"
"ENSMUSG00000001666","10","gene"
"ENSMUSG00000001670","8","gene"
"ENSMUSG00000001672","8","gene"
"ENSMUSG00000001674","1","gene"
"ENSMUSG00000001687","5","gene"
"ENSMUSG00000001700","18","gene"
"ENSMUSG00000001707","13","gene"
"ENSMUSG00000001729","12","gene"
"ENSMUSG00000001739","5","gene"
"ENSMUSG00000001741","7","gene"
"ENSMUSG00000001750","19","gene"
"ENSMUSG00000001751","11","gene"
"ENSMUSG00000001755","11","gene"
"ENSMUSG00000001761","6","gene"
"ENSMUSG00000001763","6","gene"
"ENSMUSG00000001767","2","gene"
"ENSMUSG00000001768","2","gene"
"ENSMUSG00000001773","7","gene"
"ENSMUSG00000001774","9","gene"
"ENSMUSG00000001783","10","gene"
"ENSMUSG00000001785","10","gene"
"ENSMUSG00000001786","10","gene"
"ENSMUSG00000001794","7","gene"
"ENSMUSG00000001802","7","gene"
"ENSMUSG00000001804","18","gene"
"ENSMUSG00000001815","2","gene"
"ENSMUSG00000001819","2","gene"
"ENSMUSG00000001823","2","gene"
"ENSMUSG00000001827","7","gene"
"ENSMUSG00000001829","7","gene"
"ENSMUSG00000001833","9","gene"
"ENSMUSG00000001844","5","gene"
"ENSMUSG00000001847","5","gene"
"ENSMUSG00000001855","2","gene"
"ENSMUSG00000001864","2","gene"
"ENSMUSG00000001865","3","gene"
"ENSMUSG00000001870","17","gene"
"ENSMUSG00000001891","11","gene"
"ENSMUSG00000001901","11","gene"
"ENSMUSG00000001909","8","gene"
"ENSMUSG00000001910","8","gene"
"ENSMUSG00000001911","8","gene"
"ENSMUSG00000001918","7","gene"
"ENSMUSG00000001924","X","gene"
"ENSMUSG00000001930","6","gene"
"ENSMUSG00000001942","9","gene"
"ENSMUSG00000001943","9","gene"
"ENSMUSG00000001946","9","gene"
"ENSMUSG00000001948","9","gene"
"ENSMUSG00000001962","X","gene"
"ENSMUSG00000001964","X","gene"
"ENSMUSG00000001983","11","gene"
"ENSMUSG00000001985","4","gene"
"ENSMUSG00000001986","X","gene"
"ENSMUSG00000001988","7","gene"
"ENSMUSG00000001995","8","gene"
"ENSMUSG00000001998","2","gene"
"ENSMUSG00000001999","2","gene"
"ENSMUSG00000002006","X","gene"
"ENSMUSG00000002007","X","gene"
"ENSMUSG00000002010","X","gene"
"ENSMUSG00000002012","X","gene"
"ENSMUSG00000002014","X","gene"
"ENSMUSG00000002015","X","gene"
"ENSMUSG00000002017","17","gene"
"ENSMUSG00000002020","12","gene"
"ENSMUSG00000002028","9","gene"
"ENSMUSG00000002031","9","gene"
"ENSMUSG00000002032","9","gene"
"ENSMUSG00000002033","9","gene"
"ENSMUSG00000002043","7","gene"
"ENSMUSG00000002052","11","gene"
"ENSMUSG00000002055","11","gene"
"ENSMUSG00000002057","11","gene"
"ENSMUSG00000002058","11","gene"
"ENSMUSG00000002059","11","gene"
"ENSMUSG00000002064","11","gene"
"ENSMUSG00000002068","7","gene"
"ENSMUSG00000002076","17","gene"
"ENSMUSG00000002083","7","gene"
"ENSMUSG00000002100","2","gene"
"ENSMUSG00000002102","2","gene"
"ENSMUSG00000002103","2","gene"
"ENSMUSG00000002104","2","gene"
"ENSMUSG00000002105","2","gene"
"ENSMUSG00000002107","2","gene"
"ENSMUSG00000002108","2","gene"
"ENSMUSG00000002109","2","gene"
"ENSMUSG00000002111","2","gene"
"ENSMUSG00000002129","11","gene"
"ENSMUSG00000002147","10","gene"
"ENSMUSG00000002190","8","gene"
"ENSMUSG00000002204","7","gene"
"ENSMUSG00000002205","7","gene"
"ENSMUSG00000002210","7","gene"
"ENSMUSG00000002221","5","gene"
"ENSMUSG00000002222","6","gene"
"ENSMUSG00000002227","3","gene"
"ENSMUSG00000002228","3","gene"
"ENSMUSG00000002233","3","gene"
"ENSMUSG00000002240","5","gene"
"ENSMUSG00000002249","17","gene"
"ENSMUSG00000002250","17","gene"
"ENSMUSG00000002257","17","gene"
"ENSMUSG00000002265","7","gene"
"ENSMUSG00000002266","7","gene"
"ENSMUSG00000002274","17","gene"
"ENSMUSG00000002279","17","gene"
"ENSMUSG00000002280","17","gene"
"ENSMUSG00000002289","17","gene"
"ENSMUSG00000002297","5","gene"
"ENSMUSG00000002307","17","gene"
"ENSMUSG00000002308","17","gene"
"ENSMUSG00000002319","14","gene"
"ENSMUSG00000002320","14","gene"
"ENSMUSG00000002324","14","gene"
"ENSMUSG00000002325","14","gene"
"ENSMUSG00000002326","14","gene"
"ENSMUSG00000002329","14","gene"
"ENSMUSG00000002332","14","gene"
"ENSMUSG00000002341","8","gene"
"ENSMUSG00000002342","8","gene"
"ENSMUSG00000002343","8","gene"
"ENSMUSG00000002345","8","gene"
"ENSMUSG00000002346","8","gene"
"ENSMUSG00000002365","17","gene"
"ENSMUSG00000002372","17","gene"
"ENSMUSG00000002379","17","gene"
"ENSMUSG00000002384","4","gene"
"ENSMUSG00000002393","8","gene"
"ENSMUSG00000002395","8","gene"
"ENSMUSG00000002396","8","gene"
"ENSMUSG00000002409","7","gene"
"ENSMUSG00000002413","6","gene"
"ENSMUSG00000002416","6","gene"
"ENSMUSG00000002428","3","gene"
"ENSMUSG00000002455","2","gene"
"ENSMUSG00000002458","2","gene"
"ENSMUSG00000002459","1","gene"
"ENSMUSG00000002475","18","gene"
"ENSMUSG00000002477","18","gene"
"ENSMUSG00000002486","5","gene"
"ENSMUSG00000002489","16","gene"
"ENSMUSG00000002496","17","gene"
"ENSMUSG00000002500","17","gene"
"ENSMUSG00000002504","17","gene"
"ENSMUSG00000002524","15","gene"
"ENSMUSG00000002546","2","gene"
"ENSMUSG00000002550","2","gene"
"ENSMUSG00000002565","12","gene"
"ENSMUSG00000002578","10","gene"
"ENSMUSG00000002580","11","gene"
"ENSMUSG00000002588","6","gene"
"ENSMUSG00000002602","7","gene"
"ENSMUSG00000002603","7","gene"
"ENSMUSG00000002608","7","gene"
"ENSMUSG00000002617","17","gene"
"ENSMUSG00000002625","17","gene"
"ENSMUSG00000002633","5","gene"
"ENSMUSG00000002635","7","gene"
"ENSMUSG00000002658","17","gene"
"ENSMUSG00000002660","17","gene"
"ENSMUSG00000002661","17","gene"
"ENSMUSG00000002664","17","gene"
"ENSMUSG00000002668","17","gene"
"ENSMUSG00000002679","12","gene"
"ENSMUSG00000002688","12","gene"
"ENSMUSG00000002699","11","gene"
"ENSMUSG00000002718","2","gene"
"ENSMUSG00000002728","2","gene"
"ENSMUSG00000002731","2","gene"
"ENSMUSG00000002732","2","gene"
"ENSMUSG00000002733","2","gene"
"ENSMUSG00000002741","11","gene"
"ENSMUSG00000002748","5","gene"
"ENSMUSG00000002763","17","gene"
"ENSMUSG00000002767","17","gene"
"ENSMUSG00000002768","17","gene"
"ENSMUSG00000002769","17","gene"
"ENSMUSG00000002771","7","gene"
"ENSMUSG00000002778","7","gene"
"ENSMUSG00000002781","7","gene"
"ENSMUSG00000002791","17","pseudogene"
"ENSMUSG00000002797","6","gene"
"ENSMUSG00000002799","12","gene"
"ENSMUSG00000002803","12","gene"
"ENSMUSG00000002804","12","gene"
"ENSMUSG00000002808","13","gene"
"ENSMUSG00000002812","11","gene"
"ENSMUSG00000002814","11","gene"
"ENSMUSG00000002820","9","gene"
"ENSMUSG00000002825","9","gene"
"ENSMUSG00000002831","17","gene"
"ENSMUSG00000002833","17","gene"
"ENSMUSG00000002835","17","gene"
"ENSMUSG00000002844","16","gene"
"ENSMUSG00000002845","16","gene"
"ENSMUSG00000002846","16","gene"
"ENSMUSG00000002847","16","gene"
"ENSMUSG00000002870","6","gene"
"ENSMUSG00000002871","6","gene"
"ENSMUSG00000002881","1","gene"
"ENSMUSG00000002885","8","gene"
"ENSMUSG00000002897","6","gene"
"ENSMUSG00000002900","12","gene"
"ENSMUSG00000002908","8","gene"
"ENSMUSG00000002910","8","gene"
"ENSMUSG00000002930","6","gene"
"ENSMUSG00000002944","5","gene"
"ENSMUSG00000002948","8","gene"
"ENSMUSG00000002949","8","gene"
"ENSMUSG00000002957","7","gene"
"ENSMUSG00000002963","7","gene"
"ENSMUSG00000002968","7","gene"
"ENSMUSG00000002980","7","gene"
"ENSMUSG00000002981","7","gene"
"ENSMUSG00000002983","7","gene"
"ENSMUSG00000002984","7","gene"
"ENSMUSG00000002985","7","gene"
"ENSMUSG00000002992","7","gene"
"ENSMUSG00000002996","12","gene"
"ENSMUSG00000002997","12","gene"
"ENSMUSG00000003031","6","gene"
"ENSMUSG00000003032","4","gene"
"ENSMUSG00000003033","8","gene"
"ENSMUSG00000003037","8","gene"
"ENSMUSG00000003038","4","gene"
"ENSMUSG00000003039","8","gene"
"ENSMUSG00000003051","1","gene"
"ENSMUSG00000003053","19","gene"
"ENSMUSG00000003062","13","gene"
"ENSMUSG00000003068","10","gene"
"ENSMUSG00000003070","10","gene"
"ENSMUSG00000003072","10","gene"
"ENSMUSG00000003099","7","gene"
"ENSMUSG00000003119","11","gene"
"ENSMUSG00000003123","7","gene"
"ENSMUSG00000003131","9","gene"
"ENSMUSG00000003134","1","gene"
"ENSMUSG00000003135","1","gene"
"ENSMUSG00000003153","6","gene"
"ENSMUSG00000003154","6","gene"
"ENSMUSG00000003161","5","gene"
"ENSMUSG00000003166","16","gene"
"ENSMUSG00000003184","7","gene"
"ENSMUSG00000003190","7","gene"
"ENSMUSG00000003198","17","gene"
"ENSMUSG00000003199","17","gene"
"ENSMUSG00000003200","17","gene"
"ENSMUSG00000003206","17","gene"
"ENSMUSG00000003208","17","gene"
"ENSMUSG00000003226","10","gene"
"ENSMUSG00000003227","10","gene"
"ENSMUSG00000003228","19","gene"
"ENSMUSG00000003233","16","gene"
"ENSMUSG00000003234","16","gene"
"ENSMUSG00000003235","16","gene"
"ENSMUSG00000003269","7","gene"
"ENSMUSG00000003271","7","gene"
"ENSMUSG00000003273","7","gene"
"ENSMUSG00000003279","17","gene"
"ENSMUSG00000003282","4","gene"
"ENSMUSG00000003283","2","gene"
"ENSMUSG00000003299","9","gene"
"ENSMUSG00000003308","9","gene"
"ENSMUSG00000003309","9","gene"
"ENSMUSG00000003316","8","gene"
"ENSMUSG00000003341","10","gene"
"ENSMUSG00000003344","10","gene"
"ENSMUSG00000003345","10","gene"
"ENSMUSG00000003346","10","gene"
"ENSMUSG00000003348","10","gene"
"ENSMUSG00000003352","15","gene"
"ENSMUSG00000003354","15","gene"
"ENSMUSG00000003355","15","gene"
"ENSMUSG00000003360","15","gene"
"ENSMUSG00000003363","7","gene"
"ENSMUSG00000003378","7","gene"
"ENSMUSG00000003379","7","gene"
"ENSMUSG00000003380","7","gene"
"ENSMUSG00000003382","3","gene"
"ENSMUSG00000003402","9","gene"
"ENSMUSG00000003410","9","gene"
"ENSMUSG00000003411","4","gene"
"ENSMUSG00000003418","2","gene"
"ENSMUSG00000003420","7","gene"
"ENSMUSG00000003421","7","gene"
"ENSMUSG00000003423","7","gene"
"ENSMUSG00000003429","7","gene"
"ENSMUSG00000003435","7","gene"
"ENSMUSG00000003436","7","gene"
"ENSMUSG00000003437","7","gene"
"ENSMUSG00000003438","7","gene"
"ENSMUSG00000003444","7","gene"
"ENSMUSG00000003452","6","gene"
"ENSMUSG00000003458","1","gene"
"ENSMUSG00000003464","1","gene"
"ENSMUSG00000003469","14","gene"
"ENSMUSG00000003476","6","gene"
"ENSMUSG00000003477","6","gene"
"ENSMUSG00000003484","8","gene"
"ENSMUSG00000003500","6","gene"
"ENSMUSG00000003505","7","gene"
"ENSMUSG00000003518","11","gene"
"ENSMUSG00000003526","16","gene"
"ENSMUSG00000003527","16","gene"
"ENSMUSG00000003528","16","gene"
"ENSMUSG00000003531","16","gene"
"ENSMUSG00000003534","17","gene"
"ENSMUSG00000003541","17","gene"
"ENSMUSG00000003545","7","gene"
"ENSMUSG00000003546","17","gene"
"ENSMUSG00000003549","7","gene"
"ENSMUSG00000003555","19","gene"
"ENSMUSG00000003559","19","gene"
"ENSMUSG00000003573","8","gene"
"ENSMUSG00000003575","8","gene"
"ENSMUSG00000003581","11","gene"
"ENSMUSG00000003585","11","gene"
"ENSMUSG00000003604","2","gene"
"ENSMUSG00000003617","3","gene"
"ENSMUSG00000003623","5","gene"
"ENSMUSG00000003644","4","gene"
"ENSMUSG00000003657","8","gene"
"ENSMUSG00000003660","2","gene"
"ENSMUSG00000003662","2","gene"
"ENSMUSG00000003665","17","gene"
"ENSMUSG00000003680","19","gene"
"ENSMUSG00000003721","1","gene"
"ENSMUSG00000003731","4","gene"
"ENSMUSG00000003746","10","gene"
"ENSMUSG00000003752","7","gene"
"ENSMUSG00000003762","7","gene"
"ENSMUSG00000003778","18","gene"
"ENSMUSG00000003779","18","gene"
"ENSMUSG00000003808","8","gene"
"ENSMUSG00000003809","8","gene"
"ENSMUSG00000003810","4","gene"
"ENSMUSG00000003812","8","gene"
"ENSMUSG00000003813","8","gene"
"ENSMUSG00000003814","8","gene"
"ENSMUSG00000003824","8","gene"
"ENSMUSG00000003847","8","gene"
"ENSMUSG00000003848","8","gene"
"ENSMUSG00000003849","8","gene"
"ENSMUSG00000003863","7","gene"
"ENSMUSG00000003865","7","gene"
"ENSMUSG00000003868","7","gene"
"ENSMUSG00000003872","7","gene"
"ENSMUSG00000003873","7","gene"
"ENSMUSG00000003882","15","gene"
"ENSMUSG00000003923","10","gene"
"ENSMUSG00000003929","17","gene"
"ENSMUSG00000003934","11","gene"
"ENSMUSG00000003948","11","gene"
"ENSMUSG00000003949","11","gene"
"ENSMUSG00000003955","16","gene"
"ENSMUSG00000003970","15","gene"
"ENSMUSG00000003974","5","gene"
"ENSMUSG00000003992","13","gene"
"ENSMUSG00000004018","11","gene"
"ENSMUSG00000004031","1","gene"
"ENSMUSG00000004032","3","gene"
"ENSMUSG00000004035","3","gene"
"ENSMUSG00000004038","3","gene"
"ENSMUSG00000004040","11","gene"
"ENSMUSG00000004043","11","gene"
"ENSMUSG00000004044","11","gene"
"ENSMUSG00000004054","19","gene"
"ENSMUSG00000004056","7","gene"
"ENSMUSG00000004069","16","gene"
"ENSMUSG00000004070","16","gene"
"ENSMUSG00000004071","16","gene"
"ENSMUSG00000004085","2","gene"
"ENSMUSG00000004096","9","gene"
"ENSMUSG00000004098","9","gene"
"ENSMUSG00000004099","9","gene"
"ENSMUSG00000004100","9","gene"
"ENSMUSG00000004105","2","gene"
"ENSMUSG00000004110","1","gene"
"ENSMUSG00000004113","2","gene"
"ENSMUSG00000004127","3","gene"
"ENSMUSG00000004151","12","gene"
"ENSMUSG00000004187","15","gene"
"ENSMUSG00000004207","10","gene"
"ENSMUSG00000004221","X","gene"
"ENSMUSG00000004231","19","gene"
"ENSMUSG00000004233","3","gene"
"ENSMUSG00000004263","6","gene"
"ENSMUSG00000004264","6","gene"
"ENSMUSG00000004266","6","gene"
"ENSMUSG00000004267","6","gene"
"ENSMUSG00000004268","6","gene"
"ENSMUSG00000004270","6","gene"
"ENSMUSG00000004285","6","gene"
"ENSMUSG00000004296","11","gene"
"ENSMUSG00000004317","X","gene"
"ENSMUSG00000004319","8","gene"
"ENSMUSG00000004328","7","gene"
"ENSMUSG00000004341","13","gene"
"ENSMUSG00000004344","13","gene"
"ENSMUSG00000004347","6","gene"
"ENSMUSG00000004356","10","gene"
"ENSMUSG00000004359","10","gene"
"ENSMUSG00000004360","10","gene"
"ENSMUSG00000004364","1","gene"
"ENSMUSG00000004366","16","gene"
"ENSMUSG00000004371","7","gene"
"ENSMUSG00000004383","8","gene"
"ENSMUSG00000004393","11","gene"
"ENSMUSG00000004394","11","gene"
"ENSMUSG00000004415","5","gene"
"ENSMUSG00000004446","6","gene"
"ENSMUSG00000004451","1","gene"
"ENSMUSG00000004455","5","gene"
"ENSMUSG00000004460","16","gene"
"ENSMUSG00000004462","16","gene"
"ENSMUSG00000004473","7","gene"
"ENSMUSG00000004500","7","gene"
"ENSMUSG00000004508","7","gene"
"ENSMUSG00000004530","5","gene"
"ENSMUSG00000004535","6","gene"
"ENSMUSG00000004540","7","gene"
"ENSMUSG00000004542","7","gene"
"ENSMUSG00000004552","1","gene"
"ENSMUSG00000004558","14","gene"
"ENSMUSG00000004561","14","gene"
"ENSMUSG00000004562","14","gene"
"ENSMUSG00000004565","8","gene"
"ENSMUSG00000004567","8","gene"
"ENSMUSG00000004568","8","gene"
"ENSMUSG00000004591","3","gene"
"ENSMUSG00000004609","7","gene"
"ENSMUSG00000004610","7","gene"
"ENSMUSG00000004612","7","gene"
"ENSMUSG00000004626","8","gene"
"ENSMUSG00000004630","8","gene"
"ENSMUSG00000004631","6","gene"
"ENSMUSG00000004633","6","gene"
"ENSMUSG00000004637","8","gene"
"ENSMUSG00000004642","5","gene"
